"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"F4F2PNFL","integer","2","0","1.02","1 (prop: 98.98) , 0 (prop: 1.02) ","0.99","0","1","1","1","1","0.101"
"F4HSDIPL","integer","3","0","0","1 (prop: 99.89) , 3 (prop: 0.06) , 2 (prop: 0.05) ","1.002","1","1","1","1","3","0.056"
"F4HHDG","integer","6","0","0","4 (prop: 55.41) , 1 (prop: 26.91) , 3 (prop: 6.84) , 5 (prop: 6.15) , 2 (prop: 3.51) ","3.139","1","1","4","4","6","1.414"
"F4TYPEDG","integer","10","0","0","4 (prop: 49.38) , 1 (prop: 26.91) , 3 (prop: 6.4) , 9 (prop: 6.15) , 7 (prop: 3.67) ","3.602","1","1","4","4","10","2.21"
"F4ATT4YR","integer","1","0","0","1 (prop: 100) ","1","1","1","1","1","1","0"
"F4ATTPSE","integer","1","0","0","1 (prop: 100) ","1","1","1","1","1","1","0"
"F1QFLG","integer","3","0","2.78","1 (prop: 96.82) , 0 (prop: 2.78) , 2 (prop: 0.41) ","0.976","0","1","1","1","2","0.177"
"F2QFLG","integer","3","0","0.58","1 (prop: 98.33) , 2 (prop: 1.09) , 0 (prop: 0.58) ","1.005","0","1","1","1","2","0.129"
"F12XRSTD","numeric","2381","0","0","0","51.987","-2","47.21","56.1","62.21","68.91","15.767"
"F12XMSTD","numeric","2567","0","0","0","52.738","-2","48.58","56.415","62.54","71.93","15.935"
"F12XSSTD","numeric","2665","0","0","0","51.584","-2","46.28","54.5","61.93","72.54","16.377"
"F12XHSTD","numeric","2502","0","0","0","51.306","-2","46.85","54.005","61.39","73.26","16.536"
"F22XRSTD","numeric","2325","0","0","0","45.187","-2","41.46","54.27","60.61","68.35","22.743"
"F22XMSTD","numeric","2451","0","0","0","46.025","-2","43.5","54.34","61.72","71.37","23.095"
"F22XSSTD","numeric","2389","0","0","0","44.85","-2","40.78","52.99","61.03","70.81","23.002"
"F22XHSTD","numeric","2392","0","0","0","44.809","-2","42.203","52.975","61.09","70.26","23.183"
"F2RHENG2","numeric","555","0","0.24","0","4.799","-1","3.13","5","6.83","13","2.988"
"F2RHMAG2","numeric","436","0","0.32","0","5.496","-1","3.5","5.8","8","13","3.356"
"F2RHSCG2","numeric","472","0","0.28","0","5.195","-1","3.25","5.5","7.5","13","3.213"
"F2RHSOG2","numeric","491","0","0.28","0","4.65","-1","2.83","4.75","6.67","13","3.012"
"F2RHCOG2","numeric","95","0","42.08","0","2.046","-1","0","0","4","13","3.046"
"F2RHFOG2","numeric","258","0","8.01","0","4.39","-1","2","4.4","7","13","3.477"
"F2RENG_C","numeric","94","0","0.18","0","3.531","-1","3.6","4","4.5","13","1.79"
"F2RFOR_C","numeric","67","0","8.79","0","1.952","-1","1","2","3","11","1.65"
"F2RMAT_C","numeric","70","0","11.81","0","3.134","0","3","3.5","4","7","1.401"
"F2RAL1_C","numeric","28","0","18.09","0","0.71","-1","0","1","1","3.5","0.836"
"F2RAL2_C","numeric","23","0","26.57","0","0.55","-1","0","1","1","3","0.771"
"F2RGEO_C","numeric","24","0","10.25","0","0.691","-1","1","1","1","4","0.712"
"F2RTRI_C","numeric","16","0","60.04","0","0.109","-1","0","0","0.5","2","0.551"
"F2RPRE_C","numeric","15","0","63.01","0","0.114","-1","0","0","0.5","3.06","0.572"
"F2RCAL_C","numeric","15","0","71.27","0","0.058","-1","0","0","0","4","0.548"
"F2ROMA_C","numeric","25","0","68.59","0","0.093","-1","0","0","0","3.5","0.618"
"F2RSCI_C","numeric","106","0","0.39","0","2.83","-1","2","3","4","10","1.696"
"F2REAR_C","numeric","14","0","69.78","0","0.063","-1","0","0","0","2","0.542"
"F2RBIO_C","numeric","53","0","2.76","0","1.028","-1","1","1","1.5","4.5","0.917"
"F2RCHE_C","numeric","38","0","20.02","0","0.636","-1","0","1","1","6","0.785"
"F2RPHY_C","numeric","26","0","52.91","0","0.262","-1","0","0","1","3","0.692"
"F2ROSC_C","numeric","31","0","40.78","0","0.379","-1","0","0","1","4.5","0.732"
"F2RSOC_C","numeric","100","0","0.36","0","3.037","-1","3","3.5","4","13.5","1.706"
"F2RHIS_C","numeric","55","0","1.23","0","1.696","-1","1","2","2","7","1.198"
"F2ROSO_C","numeric","64","0","5.21","0","1.22","-1","1","1.225","2","7","1.11"
"F2RCOM_C","numeric","52","0","33.92","0","0.389","-1","0","0.5","1","7","0.784"
"F2RVAG_C","numeric","19","0","84.82","0","-0.058","-1","0","0","0","6","0.511"
"F2RVBU_C","numeric","35","0","61.33","0","0.24","-1","0","0","0.5","7.5","0.87"
"F2RVGN_C","numeric","28","0","71.11","0","0.066","-1","0","0","0","5.5","0.621"
"F2RVHE_C","numeric","23","0","84.87","0","-0.087","-1","0","0","0","6","0.389"
"F2RVHO_C","numeric","21","0","83.24","0","-0.068","-1","0","0","0","8","0.441"
"F2RVMA_C","numeric","22","0","84.95","0","-0.072","-1","0","0","0","7","0.454"
"F2RVTE_C","numeric","11","0","86.86","0","-0.1","-1","0","0","0","4","0.36"
"F2RVTR_C","numeric","45","0","75.33","0","0.072","-1","0","0","0","12","0.814"
"F4BYPNWT","numeric","2209","0","0","0","233.637","9.811","108.56","187.954","263.332","25938.808","451.317"
"F4PNLWT","numeric","2051","0","3.62","0","239.573","0","110.115","214.329","296.765","6494.444","258.924"
"F4F1PNWT","numeric","2050","0","3.62","0","211.144","0","98.777","193.982","268.966","5700.434","223.676"
"F4F2PNWT","numeric","2150","0","1.02","0","213.324","0","106.441","189.318","258.349","5642.857","229.902"
"asian","numeric","2","0","90.79","0","0.092","0","0","0","0","1","0.289"
"hispanic","numeric","2","0","90.89","0","0.091","0","0","0","0","1","0.288"
"black","numeric","2","0","92.04","0","0.08","0","0","0","0","1","0.271"
"nativeam","numeric","2","0","99.33","0","0.007","0","0","0","0","1","0.081"
"m_race","numeric","2","0","99.38","0","0.006","0","0","0","0","1","0.078"
"female","numeric","2","0","46.72","0","0.533","0","0","1","1","1","0.499"
"urb_distt","numeric","2","0","68.93","0","0.311","0","0","0","1","1","0.463"
"rur_distt","numeric","2","0","73.21","0","0.268","0","0","0","1","1","0.443"
"m_distt","numeric","2","0","99.48","0","0.005","0","0","0","0","1","0.072"
"reg_dist2","numeric","2","0","72.85","0","0.272","0","0","0","1","1","0.445"
"reg_dist3","numeric","2","0","68.04","0","0.32","0","0","0","1","1","0.466"
